,City,Country,Max Temp,Description,Lat,Lng,Hotel_Name
7,Mount Isa,AU,73.17,light intensity shower rain,-20.7333,139.5,Ibis Styles
9,Lorengau,PG,80.56,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
11,Pochutla,MX,88.83,clear sky,15.7432,-96.4661,Posada San Jose
15,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Clifton Hall Great House
17,Mamallapuram,IN,78.85,few clouds,12.6264,80.1722,Radisson Temple Bay
20,Atuona,PF,78.01,light rain,-9.8,-139.0333,Pearl Resort
24,Meulaboh,ID,74.75,overcast clouds,4.1363,96.1285,Hotel Meuligou
25,Hilo,US,76.24,scattered clouds,19.7297,-155.09,Dolphin Bay Hotel
27,Faanui,PF,80.96,few clouds,-16.4833,-151.75,Four Seasons Resort Bora Bora
29,Puerto Ayora,EC,82.36,few clouds,-0.7393,-90.3518,Muyuyo Galápagos
32,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Preskil Island Resort
33,Kapaa,US,74.1,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
41,Ambilobe,MG,73.22,overcast clouds,-13.2,49.05,Diagonal Hôtel
43,Paramonga,PE,74.08,clear sky,-10.6667,-77.8333,Hotel Rico
44,Hithadhoo,MV,79.86,scattered clouds,-0.6,73.0833,Pebbles Inn
53,Kalmunai,LK,75.24,overcast clouds,7.4167,81.8167,Sakkaryya Hotel and Restaurant
56,Polewali,ID,76.17,overcast clouds,-3.4324,119.3435,hotel perdana
57,Rikitea,PF,78.19,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
61,Cape Town,ZA,71.38,clear sky,-33.9258,18.4232,DoubleTree by Hilton Hotel Cape Town - Upper Eastside
64,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti International Resort
65,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Hôtel L'Hirondelle
70,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Super 8
73,Hambantota,LK,75.88,broken clouds,6.1241,81.1185,Peacock Beach hotel Hamabthota
74,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
76,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,ibis Styles Kununurra
77,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
79,Manta,EC,80.38,broken clouds,-0.95,-80.7333,Mantahost Hotel
90,Neiafu,TO,77.68,few clouds,-18.65,-173.9833,Port Wine Guest House
94,Mar Del Plata,AR,88.83,clear sky,-38.0023,-57.5575,Hotel Valles. Mar del Plata
102,Tevaitoa,PF,81.19,clear sky,-16.7833,-151.5,Raiatea Lodge
104,Chuy,UY,76.68,clear sky,-33.6971,-53.4616,Bertelli Chuí Hotel
109,Sinnamary,GF,77.29,overcast clouds,5.3833,-52.95,L'Oiseau de Paradis - Hôtel Eco-Lodge
111,Sabang,ID,80.28,overcast clouds,5.8933,95.3214,Sabang Hill
116,Bengkulu,ID,74.79,overcast clouds,-3.8004,102.2655,Hotel Andalas Permai
118,Emerald,AU,72.34,overcast clouds,-23.5333,148.1667,Emerald Central Hotel
122,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,Le Baril
123,Frontera,MX,73.33,clear sky,26.9333,-101.45,holliday in
129,Maragogi,BR,80.37,clear sky,-9.0122,-35.2225,Hotel Praia Dourada
133,Vanimo,PG,76.48,overcast clouds,-2.6741,141.3028,Vanimo Surf Lodge
134,Salalah,OM,75.29,scattered clouds,17.0151,54.0924,Al Andalus Hotel Apartments
137,Touros,BR,80.71,broken clouds,-5.1989,-35.4608,Pousada Atlântico
140,Kavieng,PG,82.17,scattered clouds,-2.5744,150.7967,Kavieng Niu Lodge
143,Avarua,CK,75.25,light rain,-21.2078,-159.775,Natura Nikao Beach Bungalow
146,Imbituba,BR,74.75,scattered clouds,-28.24,-48.6703,Hotel Recanto
152,Itarema,BR,82.6,clear sky,-2.9248,-39.9167,Barraca Do Kite
158,Maceio,BR,85.44,clear sky,-9.6658,-35.7353,Hotel Praia Bonita
166,Coquimbo,CL,73.13,clear sky,-29.9533,-71.3436,Hotel Liverpool
168,Guerrero Negro,MX,70.18,clear sky,27.9769,-114.0611,Cabanas Malarrimo
172,Quelimane,MZ,80.55,moderate rain,-17.8786,36.8883,Hotel Chuabo
174,Sitio Novo Do Tocantins,BR,85.93,few clouds,-5.5183,-47.4611,New Anápolis Hotel
183,Chimbote,PE,73.44,clear sky,-9.0853,-78.5783,"Hotel ""El Conquistador"""
184,Robstown,US,82.96,broken clouds,27.7903,-97.6689,Quality Inn & Suites
185,Vao,NC,78.04,overcast clouds,-22.6667,167.4833,Nataiwatch
187,George Town,MY,78.73,few clouds,5.4112,100.3354,Super 8
188,Ikom,NG,79.23,clear sky,5.9667,8.7063,Gold Palm Hotels
193,Rawson,AR,76.21,broken clouds,-43.3002,-65.1023,Hotel Punta León
211,Copiapo,CL,71.29,clear sky,-27.3667,-70.3333,PARIX
220,Alta Floresta,BR,73.6,moderate rain,-9.8756,-56.0861,Villas Hotel
223,Mitsamiouli,KM,80.89,few clouds,-11.3847,43.2844,Maludja Bungalows
224,Cidreira,BR,74.53,few clouds,-30.1811,-50.2056,Hotel Castelo
230,Grajau,BR,80.85,light rain,-5.8194,-46.1386,Torre Palace Hotel
235,Buchanan,LR,79.09,clear sky,5.8808,-10.0467,Buchanan Hotel
242,Puerto Baquerizo Moreno,EC,73.72,scattered clouds,-0.9,-89.6,Miconia Hotel & Restaurant
249,Port Blair,IN,75.24,mist,11.6667,92.75,Hornbill Nest resort
250,Sibolga,ID,73.6,overcast clouds,1.7427,98.7792,Hotel Hotma
251,Owando,CG,78.4,overcast clouds,-0.4819,15.8999,Hotel de l'Eglise
252,Sambava,MG,76.84,light rain,-14.2667,50.1667,Orchidéa Beach II
255,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Pousada dos Quatro Cantos
256,Tabou,CI,79.9,scattered clouds,4.423,-7.3528,hôtel le rochet
257,Cabo San Lucas,MX,81.61,clear sky,22.8909,-109.9124,Waldorf Astoria Los Cabos Pedregal
265,Basco,PH,74.48,broken clouds,20.4487,121.9702,Shanedels Inn and Cafe
274,San Vicente,AR,86.04,clear sky,-26.6167,-54.1333,American
276,Waingapu,ID,78.4,overcast clouds,-9.6567,120.2641,Hotel Jemmy
280,Cabanas,CU,79.84,scattered clouds,22.9758,-82.9219,Vista Hermosa
281,Padang,ID,75.16,overcast clouds,-0.9492,100.3543,Mercure Hotel
291,Cap Malheureux,MU,79.47,clear sky,-19.9842,57.6142,Hibiscus
292,Manokwari,ID,78.01,overcast clouds,-0.8667,134.0833,Hotel Arfak
295,Luanda,AO,80.6,broken clouds,-8.8368,13.2343,Hotel Presidente Luanda
296,Pisco,PE,72.01,scattered clouds,-13.7,-76.2167,Gran Hotel Chincha
299,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,Hospitality Port Hedland
300,Diamantino,BR,82.24,overcast clouds,-14.4086,-56.4461,Hotel kayaby
301,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Marry's Motel
304,Kupang,ID,77.49,scattered clouds,-10.1667,123.5833,Sylvia Hotel
306,Luganville,VU,80.02,overcast clouds,-15.5333,167.1667,Deco Stop Lodge
307,Kahului,US,75.22,clear sky,20.8947,-156.47,Maui Seaside Hotel
310,Porto Uniao,BR,79.03,clear sky,-26.2381,-51.0783,Hotel Riad
311,Tucuman,AR,89.6,broken clouds,-26.8241,-65.2226,Hotel Republica
312,Sokoni,TZ,80.46,few clouds,-6.4333,39.55,La Madrugada Beach Hotel
320,Mineiros,BR,73.85,moderate rain,-17.5694,-52.5511,Hotel America
326,Cornelio Procopio,BR,71.94,overcast clouds,-23.1811,-50.6467,Hotel Midas
329,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,Hotel Pop! Teuku Umar Denpasar
331,Houma,US,76.01,clear sky,29.5958,-90.7195,Holiday Inn Houma
334,Sal Rei,CV,75.4,clear sky,16.1833,-22.9167,Riu Karamboa
337,Oussouye,SN,82.49,overcast clouds,12.485,-16.5469,Campement Emanaye
341,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Hotel Paraiso Escondido
347,Porto Velho,BR,82.45,broken clouds,-8.7619,-63.9039,Vilhema
348,Noumea,NC,81.0,overcast clouds,-22.2763,166.4572,Hilton Noumea La Promenade Residences
352,Trincomalee,LK,78.35,overcast clouds,8.5711,81.2335,trinco rest house
354,Jacareacanga,BR,81.39,moderate rain,-6.2222,-57.7528,Hotel São Cristovão
355,Saint-Pierre,RE,78.48,scattered clouds,-21.3393,55.4781,Le Terre Sainte
356,Les Cayes,HT,81.84,few clouds,18.2,-73.75,Hotel L jordin
358,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hostess Hotel
361,Cayenne,GF,75.24,overcast clouds,4.9333,-52.3333,Central Hôtel
363,Batticaloa,LK,76.12,overcast clouds,7.7102,81.6924,Bridge View Hotel
364,Vila Do Maio,CV,74.19,overcast clouds,15.1333,-23.2167,Big Game Maio
371,Mandera,KE,86.88,clear sky,3.9366,41.867,Cordoba restaurant
374,Kirando,TZ,71.31,broken clouds,-7.4167,30.6,Lakeshore Lodge
386,Iquique,CL,73.44,scattered clouds,-20.2208,-70.1431,Hotel Terrado Suites
387,Iquitos,PE,84.24,broken clouds,-3.7481,-73.2472,La Casa Fitzcarraldo
397,Maun,BW,82.36,clear sky,-19.9833,23.4167,Center Lodge Conference Center
399,Alibag,IN,80.67,clear sky,18.6411,72.8792,Hira Laxmi Residency
405,Sao Filipe,CV,73.54,few clouds,14.8961,-24.4956,Bela Vista
415,Ambulu,ID,76.82,broken clouds,-8.345,113.6058,Hotel Ambulu
416,Vaitape,PF,80.98,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
424,Sorong,ID,80.96,overcast clouds,-0.8833,131.25,Swiss-Belhotel
430,Necochea,AR,89.37,overcast clouds,-38.5473,-58.7368,Cabañas Río Quequén
434,Brandon,US,73.11,clear sky,27.9378,-82.2859,Red Roof Inn - Brandon
435,Wajir,KE,88.29,scattered clouds,1.7471,40.0573,Al- Amin lodge
441,Dwarka,IN,71.65,clear sky,22.2394,68.9678,The Dwarika Hotel
443,Ondjiva,AO,78.85,overcast clouds,-17.0667,15.7333,Villa Okapale
448,Weligama,LK,73.22,broken clouds,5.9667,80.4167,Cape Weligama
455,Inhambane,MZ,73.38,drizzle,-23.865,35.3833,Casa Jensen
457,Guiglo,CI,80.98,broken clouds,6.5456,-7.4966,Hôtel Tam-Tam Annexe
458,Sechura,PE,77.45,scattered clouds,-5.5569,-80.8222,Grand Hotel Illescas
462,Pitimbu,BR,84.79,broken clouds,-7.4706,-34.8086,Pitimbu Mar Hotel
465,Lethem,GY,87.73,overcast clouds,3.3803,-59.7968,Takutu Hotel
468,Mogadishu,SO,78.15,few clouds,2.0371,45.3438,Elite Hotel
473,Lazaro Cardenas,MX,83.3,clear sky,17.9583,-102.2,Quinta Antigua Hotel
481,Natchez,US,75.42,scattered clouds,31.5604,-91.4032,Holiday Inn Express Hotel & Suites Natchez South
491,Kimbe,PG,76.37,light rain,-5.5502,150.1429,Liamo Reef Resort
492,Jacksonville,US,70.05,clear sky,30.3322,-81.6556,Marriott Jacksonville Downtown
496,Bac Lieu,VN,70.11,light rain,9.285,105.7244,Nhà khách công đoàn
500,Ilebo,CD,70.47,overcast clouds,-4.3167,20.5833,Hôtel des Palmes
509,Cape Canaveral,US,74.07,clear sky,28.4058,-80.6048,Days Inn
512,Grand Gaube,MU,79.38,clear sky,-20.0064,57.6608,Hotel Lux- Grand Gaube
524,Makakilo City,US,77.68,clear sky,21.3469,-158.0858,Four Seasons O'ahu at Ko Olina
534,Santa Rosa,PH,75.18,overcast clouds,14.3122,121.1114,Mariposa
536,Mangochi,MW,71.4,moderate rain,-14.4782,35.2645,Villa Tafika
544,Tutoia,BR,82.04,scattered clouds,-2.7619,-42.2744,Baluarte
551,Marang,MY,75.11,overcast clouds,5.2056,103.2059,Hotel Syahirah
554,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Nevada Suites
563,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,The Adventures Inn
568,Bang Saphan,TH,73.74,overcast clouds,11.2126,99.5117,Sailom Bangsaphan Resort
576,Celestun,MX,80.92,clear sky,20.8667,-90.4,Hotel Maria del Carmen
579,Carupano,VE,78.84,overcast clouds,10.6678,-63.2585,Hotel Los Molinos C.A
582,Guaruja,BR,76.86,few clouds,-23.9931,-46.2564,Casa Grande Hotel Resort And Spa Guaruja
583,Cacapava Do Sul,BR,88.21,clear sky,-30.5122,-53.4914,Ciro Palace
590,Takoradi,GH,80.78,scattered clouds,4.8845,-1.7554,Protea Hotel
598,Nicoya,CR,88.09,few clouds,10.1483,-85.452,Hotel Jenny
605,Pangkalanbuun,ID,73.92,light rain,-2.6833,111.6167,Arsela Hotel Pangkalan Bun
609,The Valley,AI,81.82,scattered clouds,18.217,-63.0578,La Vue
615,Kendari,ID,75.36,overcast clouds,-3.945,122.4989,Same Hotel Kendari
622,Luba,GQ,82.29,few clouds,3.4568,8.5547,Residencia Don Louis
623,Huaquillas,EC,80.83,scattered clouds,-3.4833,-80.2333,hotel orquídeas 2
624,Springbok,ZA,70.61,clear sky,-29.6643,17.8865,Hotel Springbok Inn
625,Bourail,NC,78.39,light rain,-21.5667,165.4833,Hôtel Restaurant La Néra
626,Macaubas,BR,78.69,overcast clouds,-13.0194,-42.6986,Macaúbas Palace Hotel
632,Pontianak,ID,75.18,mist,-0.0333,109.3333,Airy Pontianak Selatan Imam Bonjol 89
636,Namibe,AO,71.96,broken clouds,-15.1961,12.1522,IKA Hotel Namibe
642,Karratha,AU,79.18,broken clouds,-20.7377,116.8463,Karratha International Hotel
649,San-Pedro,CI,80.1,broken clouds,4.7485,-6.6363,Degny Plage Hôtel
654,Morant Bay,JM,83.82,clear sky,17.8815,-76.4093,Golden Shore Resort
